,,,Find Players,,,,,,,,,,,,,,,,,,,Team1,Team2
,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,,
3974186631,NFL $450K Game Changer [$100K to 1st Single Entry],152489037,1500,Joshua Dobbs (30330594),Isiah Pacheco (30330668),Kenneth Walker III (30330656),Keenan Allen (30330874),Marquise Brown (30330910),Amari Cooper (30330894),Sam LaPorta (30331248),Luke Musgrave (30331270),Giants (30331474),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,,
3974211042,NFL $50K Double Spy [$10K to 1st Single Entry],152488991,200,Sam Howell (30330591),Zach Evans (30330798),Josh Jacobs (30330648),Terry McLaurin (30330908),Kendrick Bourne (30330928),Curtis Samuel (30330938),Travis Kelce (30331244),Stefon Diggs (30330872),Chiefs (30331480),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,,
3974203529,NFL $50K Stiff Arm [Single Entry],152489038,555,Jared Goff (30330585),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Puka Nacua (30330880),Amon-Ra St. Brown (30330878),Zay Flowers (30330902),Dawson Knox (30331284),Josh Palmer (30330920),Seahawks (30331472),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,,
3974195246,NFL $100K Red Zone [Single Entry],152488994,50,Daniel Jones (30330590),Brian Robinson (30330670),Rachaad White (30330684),Mike Evans (30330882),Amari Cooper (30330894),Wan'Dale Robinson (30330952),Travis Kelce (30331244),Tyler Lockett (30330896),Ravens (30331479),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,,
3974201460,NFL $200K Facemask [3 Entry Max $50K to 1st],152489027,555,Russell Wilson (30330592),Kenneth Walker III (30330656),Jerome Ford (30330682),Courtland Sutton (30330912),Stefon Diggs (30330872),Elijah Moore (30330934),Mark Andrews (30331246),Christian Watson (30330904),Bears (30331475),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,,
3974197533,NFL $100K Pocket Passer [4 Entry Max],152489029,250,Geno Smith (30330586),Isiah Pacheco (30330668),Josh Jacobs (30330648),Tyler Lockett (30330896),Marquise Brown (30330910),Elijah Moore (30330934),Tyler Higbee (30331262),Keenan Allen (30330874),Lions (30331477),,,,,,,,,,,
3974197532,NFL $100K Pocket Passer [4 Entry Max],152489029,250,Patrick Mahomes (30330579),Jahmyr Gibbs (30330664),Roschon Johnson (30330712),Kadarius Toney (30330944),Amari Cooper (30330894),Terry McLaurin (30330908),Sam LaPorta (30331248),Travis Kelce (30331244),Patriots (30331483),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj
3974195207,NFL $150K Double Spy [$30K to 1st Single Entry],152488990,200,Sam Howell (30330591),Jaylen Warren (30330686),Zach Evans (30330798),Courtland Sutton (30330912),Cooper Kupp (30330870),Stefon Diggs (30330872),Logan Thomas (30331266),Christian Watson (30330904),Lions (30331477),,WR,Cooper Kupp (30330870),Cooper Kupp,30330870,WR/FLEX,9500,PIT@LAR 10/22/2023 04:05PM ET,LAR,21.48,21.48
3974185888,NFL $200K Facemask [3 Entry Max $50K to 1st],152489027,555,Baker Mayfield (30330593),Kenneth Walker III (30330656),Jerome Ford (30330682),Christian Watson (30330904),Mike Evans (30330882),Zay Flowers (30330902),Zach Ertz (30331272),Travis Kelce (30331244),Giants (30331474),,WR,Stefon Diggs (30330872),Stefon Diggs,30330872,WR/FLEX,8900,BUF@NE 10/22/2023 01:00PM ET,BUF,20.40333333,20.40333333
3974186367,NFL $100K Power Sweep [3 Entry Max],152489031,150,Jared Goff (30330585),Isiah Pacheco (30330668),Rhamondre Stevenson (30330672),Rondale Moore (30330970),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Mark Andrews (30331246),Tyler Lockett (30330896),Broncos (30331478),,RB,Austin Ekeler (30330644),Austin Ekeler,30330644,RB/FLEX,8600,LAC@KC 10/22/2023 04:25PM ET,LAC,17.64,17.64
3974202284,NFL $100K Spin Move [Single Entry],152489039,300,Joshua Dobbs (30330594),Josh Jacobs (30330648),Brian Robinson (30330670),Marquise Brown (30330910),Terry McLaurin (30330908),Elijah Moore (30330934),Mark Andrews (30331246),Keenan Allen (30330874),Cardinals (30331481),,WR,Keenan Allen (30330874),Keenan Allen,30330874,WR/FLEX,8600,LAC@KC 10/22/2023 04:25PM ET,LAC,20.36,20.36
3974197534,NFL $100K Pocket Passer [4 Entry Max],152489029,250,Daniel Jones (30330590),Najee Harris (30330680),Jaylen Warren (30330686),Courtland Sutton (30330912),Cooper Kupp (30330870),Darius Slayton (30330954),Sam LaPorta (30331248),Travis Kelce (30331244),Chiefs (30331480),,QB,Patrick Mahomes (30330579),Patrick Mahomes,30330579,QB,8300,LAC@KC 10/22/2023 04:25PM ET,KC,23.42666667,23.42666667
3974186061,NFL $250K Power Sweep [$50K to 1st 3 Entry Max],152489030,150,Baker Mayfield (30330593),Kenneth Walker III (30330656),Jerome Ford (30330682),Mike Evans (30330882),Amari Cooper (30330894),Curtis Samuel (30330938),Luke Musgrave (30331270),Cooper Kupp (30330870),Ravens (30331479),,WR,Davante Adams (30330876),Davante Adams,30330876,WR/FLEX,8200,LV@CHI 10/22/2023 01:00PM ET,LV,17.11,17.11
