Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj,Ownership,StDev,Team1,Team2,Opponent
WR,Cooper Kupp (30330870),Cooper Kupp,30330870,WR/FLEX,9500,PIT@LAR 10/22/2023 04:05PM ET,LAR,26.8,21.48,19.11,13.205,PIT,LAR,PIT
WR,Stefon Diggs (30330872),Stefon Diggs,30330872,WR/FLEX,8900,BUF@NE 10/22/2023 01:00PM ET,BUF,25.83,20.40333333,15.73333333,14.255,BUF,NE,NE
RB,Austin Ekeler (30330644),Austin Ekeler,30330644,RB/FLEX,8600,LAC@KC 10/22/2023 04:25PM ET,LAC,19.8,17.64,9.446666667,10.465,LAC,KC,KC
WR,Keenan Allen (30330874),Keenan Allen,30330874,WR/FLEX,8600,LAC@KC 10/22/2023 04:25PM ET,LAC,26.09,20.36,17.85,11.755,LAC,KC,KC
QB,Patrick Mahomes (30330579),Patrick Mahomes,30330579,QB,8300,LAC@KC 10/22/2023 04:25PM ET,KC,21.2,23.42666667,10.32666667,9.655,LAC,KC,LAC
WR,Davante Adams (30330876),Davante Adams,30330876,WR/FLEX,8200,LV@CHI 10/22/2023 01:00PM ET,LV,17.85,17.11,8.436666667,13.09,LV,CHI,CHI
QB,Josh Allen (30330580),Josh Allen,30330580,QB,8200,BUF@NE 10/22/2023 01:00PM ET,BUF,24.19,20.67666667,5.86,10.36,BUF,NE,NE
RB,Saquon Barkley (30330646),Saquon Barkley,30330646,RB/FLEX,8100,WAS@NYG 10/22/2023 01:00PM ET,NYG,16.77,15.70666667,4.82,10.81,WAS,NYG,WAS
WR,Amon-Ra St. Brown (30330878),Amon-Ra St. Brown,30330878,WR/FLEX,8000,DET@BAL 10/22/2023 01:00PM ET,DET,21.98,17.87,12.73333333,12.57,DET,BAL,BAL
QB,Justin Herbert (30330581),Justin Herbert,30330581,QB,8000,LAC@KC 10/22/2023 04:25PM ET,LAC,24.58,19.24333333,3.123333333,8.885,LAC,KC,KC
